gene_id,non_coding,mzt_gene_class,hourly_wave,utr,s8mers,s7mera1,s7merm8,s6mer,s6mero,target
ENSDARG00000000018,no,maternal_zygotic,5,ENSDARG00000000018:UTR4,0,0,0,0,1,putative_targets
ENSDARG00000000019,no,maternal_zygotic,6,ENSDARG00000000019:UTR2,0,0,1,1,0,putative_targets
ENSDARG00000000068,no,maternal_zygotic,7,ENSDARG00000000068:UTR2,0,0,0,0,0,controls
ENSDARG00000000069,no,maternal_zygotic,6,ENSDARG00000000069:UTR2,0,0,0,1,1,putative_targets
ENSDARG00000000103,no,maternal,not_assigned,ENSDARG00000000103:UTR3,0,0,0,0,0,others
ENSDARG00000000151,no,maternal,not_assigned,ENSDARG00000000151:UTR6,0,0,1,0,1,putative_targets
ENSDARG00000000183,no,maternal,not_assigned,ENSDARG00000000183:UTR4,0,0,1,1,1,putative_targets
ENSDARG00000000189,no,maternal,not_assigned,ENSDARG00000000189:UTR5,0,0,0,0,0,others
ENSDARG00000000212,no,zygotic,5,ENSDARG00000000212:UTR2,0,0,0,0,0,others
ENSDARG00000000229,no,maternal_zygotic,6,ENSDARG00000000229:UTR4,0,0,0,0,1,putative_targets
ENSDARG00000000394,no,maternal_zygotic,4,ENSDARG00000000394:UTR3,0,0,0,0,0,others
ENSDARG00000000423,no,maternal,not_assigned,ENSDARG00000000423:UTR4,0,0,0,0,0,others
ENSDARG00000000442,no,maternal_zygotic,6,ENSDARG00000000442:UTR5,0,0,0,0,0,others
ENSDARG00000000476,no,maternal,not_assigned,ENSDARG00000000476:UTR4,0,0,0,0,0,others
ENSDARG00000000489,no,maternal_zygotic,5,ENSDARG00000000489:UTR2,0,0,0,0,0,others
ENSDARG00000000529,no,maternal,not_assigned,ENSDARG00000000529:UTR2,0,0,0,0,0,others
ENSDARG00000000540,no,maternal_zygotic,5,ENSDARG00000000540:UTR13,0,0,0,0,2,putative_targets
ENSDARG00000000542,no,maternal_zygotic,5,ENSDARG00000000542:UTR10,0,0,2,0,1,putative_targets
ENSDARG00000000567,no,maternal_zygotic,4,ENSDARG00000000567:UTR3,0,0,1,0,0,putative_targets
ENSDARG00000000568,no,maternal_zygotic,6,ENSDARG00000000568:UTR5,0,0,2,0,1,putative_targets
ENSDARG00000000588,no,maternal_zygotic,4,ENSDARG00000000588:UTR2,0,0,0,1,0,putative_targets
ENSDARG00000000631,no,maternal,not_assigned,ENSDARG00000000631:UTR8,0,0,1,1,1,putative_targets
ENSDARG00000000729,no,maternal_zygotic,6,ENSDARG00000000729:UTR8,0,0,0,0,0,controls
ENSDARG00000000730,no,maternal,not_assigned,ENSDARG00000000730:UTR7,0,0,0,0,0,others
ENSDARG00000000747,no,maternal,not_assigned,ENSDARG00000000747:UTR13,0,0,0,0,2,putative_targets
ENSDARG00000000760,no,maternal,not_assigned,ENSDARG00000000760:UTR2,0,0,0,0,0,others
ENSDARG00000000779,no,maternal_zygotic,not_assigned,ENSDARG00000000779:UTR2,0,0,0,0,0,others
ENSDARG00000000796,no,undetermined,not_assigned,ENSDARG00000000796:UTR11,0,0,0,0,0,others
ENSDARG00000000830,no,maternal_zygotic,not_assigned,ENSDARG00000000830:UTR3,0,0,0,0,0,others
ENSDARG00000000853,no,maternal_zygotic,5,ENSDARG00000000853:UTR2,0,0,0,0,0,others
ENSDARG00000000857,no,maternal_zygotic,4,ENSDARG00000000857:UTR3,0,0,0,0,0,controls
ENSDARG00000000861,no,maternal_zygotic,7,ENSDARG00000000861:UTR3,0,0,0,0,0,others
ENSDARG00000000887,no,maternal,not_assigned,ENSDARG00000000887:UTR5,0,0,0,0,0,controls
ENSDARG00000000906,no,maternal,not_assigned,ENSDARG00000000906:UTR5,0,0,0,0,0,others
ENSDARG00000000935,no,maternal,not_assigned,ENSDARG00000000935:UTR6,0,0,0,0,0,others
ENSDARG00000000966,no,maternal,not_assigned,ENSDARG00000000966:UTR4,1,0,0,1,0,known_target
ENSDARG00000001015,no,undetermined,not_assigned,ENSDARG00000001015:UTR7,0,1,2,0,0,putative_targets
ENSDARG00000001057,no,maternal_zygotic,5,ENSDARG00000001057:UTR1,0,0,0,0,0,others
ENSDARG00000001129,no,maternal_zygotic,5,ENSDARG00000001129:UTR5,0,0,0,2,1,putative_targets
ENSDARG00000001162,no,maternal_zygotic,5,ENSDARG00000001162:UTR6,0,0,0,0,0,others
ENSDARG00000001169,no,maternal_zygotic,4,ENSDARG00000001169:UTR7,0,0,0,0,0,others
ENSDARG00000001210,no,maternal_zygotic,5,ENSDARG00000001210:UTR2,0,0,0,0,0,others
ENSDARG00000001220,no,maternal,not_assigned,ENSDARG00000001220:UTR2,0,0,0,0,1,putative_targets
ENSDARG00000001241,no,maternal_zygotic,4,ENSDARG00000001241:UTR13,0,0,0,0,0,others
ENSDARG00000001244,no,maternal_zygotic,4,ENSDARG00000001244:UTR9,0,0,0,0,0,others
ENSDARG00000001249,no,maternal,not_assigned,ENSDARG00000001249:UTR4,0,0,0,0,0,others
ENSDARG00000001313,no,maternal_zygotic,5,ENSDARG00000001313:UTR2,0,0,0,0,0,controls
ENSDARG00000001442,no,maternal,not_assigned,ENSDARG00000001442:UTR6,0,0,0,0,0,others
ENSDARG00000001447,no,maternal_zygotic,7,ENSDARG00000001447:UTR2,0,0,0,0,0,others
ENSDARG00000001452,no,maternal,not_assigned,ENSDARG00000001452:UTR2,0,0,0,0,0,others
ENSDARG00000001470,no,maternal,not_assigned,ENSDARG00000001470:UTR5,0,0,0,0,0,others
ENSDARG00000001549,no,maternal,not_assigned,ENSDARG00000001549:UTR3,0,0,0,0,0,others
